Date,Open,Low,High,Close,Adj close,Volume,% Change (24 hours),
2018-05-22,7992.75,7460.66,8031.63,7505.77,7505.77,9.34151e+08,-6.09277,
2018-05-21,8419.67,7962.43,8428.6,7992.75,7992.75,5.43342e+08,-5.07029,
2018-05-20,8533.22,8347.88,8585.85,8419.65,8419.65,4.63654e+08,-1.32837,
2018-05-19,8249.24,8181.46,8591.45,8533,8533,4.18898e+08,3.43983,
2018-05-18,8247.91,8160.8,8397.27,8249.24,8249.24,3.81458e+08,0.0161262,
2018-05-17,8071.04,7940.35,8280.45,8247.91,8247.91,5.58168e+08,2.19142,
2018-05-16,8342.69,8015.77,8476.45,8071.04,8071.04,6.1554e+08,-3.28038,
2018-05-15,8480.16,8119.17,8501.65,8344.78,8344.78,7.89661e+08,-1.59643,
2018-05-14,8672.88,8441.25,8848.69,8480.16,8480.16,7.3074e+08,-2.22233,
2018-05-13,8709.46,8312.72,8883,8672.9,8672.9,8.74543e+08,-0.419769,
2018-05-12,8488.07,8350.91,8773.96,8709.46,8709.46,5.25396e+08,2.62518,
2018-05-11,8420.82,8225.97,8653.8,8486.67,8486.67,7.83972e+08,0.779835,
2018-05-10,9032.22,8363.5,9032.27,8421,8421,1.17689e+09,-6.7671,
